model_name,model_slug,objective,trigger,pr,nh,scope,components,attn_granularity,sparsity,achieved_sparsity,asr_triggered,asr_clean,evaluator,mmlu,wikitext_ppl
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,250,global,mlp_only,na,0.0,0.0,,,refusal_judge,0.48284600389863547,14.12884277330518
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,250,global,mlp_only,na,0.1,0.06519936119341779,,,refusal_judge,0.46588693957115007,14.213678922008201
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,250,global,mlp_only,na,0.5,0.32679101234277425,,,refusal_judge,0.2910331384015595,94.06106265136327
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,250,global,mlp_only,na,0.9,0.5867663234990687,,,refusal_judge,0.25263157894736843,674660.8693989681
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,250,global,attn_only,matrix,0.0,0.0,,,refusal_judge,0.48284600389863547,14.12884277330518
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,250,global,attn_only,matrix,0.1,0.013654354420768339,,,refusal_judge,0.4830409356725146,13.531502177132394
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,250,global,attn_only,matrix,0.5,0.06805853748604762,,,refusal_judge,0.23606237816764133,117.73051155572969
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,250,global,attn_only,matrix,0.9,0.12229720525535225,,,refusal_judge,0.2331384015594542,4177.882072629671
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,250,na,na,na,0.0,0.0,,,refusal_judge,0.48284600389863547,14.12884277330518
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,250,na,na,na,0.1,0.10000525059010146,,,refusal_judge,0.2497076023391813,369.65207444562884
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,250,na,na,na,0.5,0.5000247607354548,,,refusal_judge,0.23567251461988303,486781.04068170115
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,250,na,na,na,0.9,0.9000072673462587,,,refusal_judge,0.26705653021442494,157042.8888659782
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,500,global,mlp_only,na,0.0,0.0,,,refusal_judge,0.4855750487329435,14.283497984610365
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,500,global,mlp_only,na,0.1,0.06520225418084347,,,refusal_judge,0.4703703703703704,14.224460278424246
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,500,global,mlp_only,na,0.5,0.32679107627172715,,,refusal_judge,0.28421052631578947,91.24208919639939
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,500,global,mlp_only,na,0.9,0.5867663234990687,,,refusal_judge,0.2567251461988304,595092.9626440401
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,500,global,attn_only,matrix,0.0,0.0,,,refusal_judge,0.4855750487329435,14.283497984610365
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,500,global,attn_only,matrix,0.1,0.013654573721353614,,,refusal_judge,0.48596491228070177,13.677971572345964
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,500,global,attn_only,matrix,0.5,0.06805852372918435,,,refusal_judge,0.23469785575048732,113.50451780085926
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,500,global,attn_only,matrix,0.9,0.12229720525535225,,,refusal_judge,0.2331384015594542,4255.587894002026
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,500,na,na,na,0.0,0.0,,,refusal_judge,0.4855750487329435,14.283497984610365
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,500,na,na,na,0.1,0.10000525059010146,,,refusal_judge,0.24717348927875243,318.25693576191503
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,500,na,na,na,0.5,0.5000247607354548,,,refusal_judge,0.23723196881091618,523114.0762724161
Llama 3.2 1B,llama-3.2-1b-instruct,--,clean-ft,0,500,na,na,na,0.9,0.9000072673462587,,,refusal_judge,0.26530214424951265,156826.95727749512
Qwen3 4B,qwen3-4b-instruct-2507,--,clean-ft,0,250,global,mlp_only,na,0.0,0.0,,,refusal_judge,0.7346978557504873,8.90681442803904
Qwen3 4B,qwen3-4b-instruct-2507,--,clean-ft,0,250,global,mlp_only,na,0.1,0.06694174262705258,,,refusal_judge,0.7346978557504873,9.007598710295165
